Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ALG14	8.626837235857385	7.237427669826946e-7	0.0014426950664740996	0.08607184386663891	0.9994628079712078	FALSE
TRBV4-2	78170.0416963096	7.224950063348863e-7	0.0014426913547258	0.6738751890296544	0.9994628079712078	FALSE
PCBP4	23.380080121606863	7.179035818506035e-7	0.001442691193446237	0.689001499287822	0.9994628079712078	FALSE
MON1B	0.2796284628043465	6.848889173278112e-7	0.0014426948831711807	0.5271833921623269	0.9994628079712078	FALSE
EIF4G2	0	6.798623595952405e-7	0.0014426951127513357	1	NA	NA
HDAC8	11.577122741519196	6.649263988886386e-7	0.0014426942386370244	0.46419402517985275	0.9994628079712078	FALSE
SCUBE1	0.5909018175251121	6.599964435623534e-7	0.0014426949573743731	0.4501149958485627	0.9994628079712078	FALSE
TIMM50	0.7117686975028767	6.580088414702384e-7	0.0014426941810268233	0.5579433913154523	0.9994628079712078	FALSE
SNX3	696.3559686628338	6.111475471672979e-7	0.0014426941492997405	0.4512601375551058	0.9994628079712078	FALSE
CACNA1A	0.3215262253426516	6.082423081693961e-7	0.001442694801107875	0.5334630392809446	0.9994628079712078	FALSE
SYCP2L	0.0630041468521713	6.048070541895786e-7	0.0014426950674092404	0.8530564612150116	0.9994628079712078	FALSE
CHKB	2.225936821819861	5.815959414994414e-7	0.0014426929322461561	0.04191480810718029	0.9994628079712078	FALSE
ELAVL3	0.5859022701121063	5.794373721214526e-7	0.0014426946612469001	0.5758670165758182	0.9994628079712078	FALSE
SRSF4	0.38113432229737004	5.651007089857224e-7	0.0014426946415250952	0.5755990171066878	0.9994628079712078	FALSE
TMC1	0.8450069386529624	5.613989811493847e-7	0.001442694906180706	0.48765826035673326	0.9994628079712078	FALSE
MALAT1	2.891396054688349	5.591003418048712e-7	0.0014426950237107243	0.324657268754832	0.9994628079712078	FALSE
SP2-DT	0.3473733492343445	5.551642970575792e-7	0.00144269470720745	0.5999339038000897	0.9994628079712078	FALSE
LOC283683	0.7027585249314264	5.48978814874728e-7	0.0014426949996519962	0.45350897414524	0.9994628079712078	FALSE
IPCEF1	2.224164295022948	5.399345873830502e-7	0.0014426950146278117	0.2766167887091867	0.9994628079712078	FALSE
TTC7B	1.7459123599966875	5.372038971609499e-7	0.0014426945573644667	0.5519359294986461	0.9994628079712078	FALSE
TRBV6-8	0.23039651663094748	5.321253834135245e-7	0.0014426940213732998	0.6094576860501337	0.9994628079712078	FALSE
TRBV11-1	448.69528929521135	5.242257102213804e-7	0.0014426896178087595	0.7971870144258371	0.9994628079712078	FALSE
SNW1	0.20111079312343846	5.141361319294702e-7	0.0014426950540295566	0.8001647820656614	0.9994628079712078	FALSE
NEURL1	0.634813053716131	5.087949605467257e-7	0.0014426949857145991	0.5651512475346037	0.9994628079712078	FALSE
EBF1	0.8273802624050743	5.079231094800286e-7	0.0014426945805893208	0.5622179312306028	0.9994628079712078	FALSE
PCDH19	0.6176087546679594	5.001741845503955e-7	0.001442694923914599	0.5564885371610475	0.9994628079712078	FALSE
TFAP2C	0.5040823737807649	4.967580188984478e-7	0.0014426949360084344	0.5380460154199747	0.9994628079712078	FALSE
GABBR2	0.36521282220200857	4.956339307962465e-7	0.0014426949182539102	0.5681071552203245	0.9994628079712078	FALSE
SOX4	0.36739509149860483	4.817130427798567e-7	0.0014426949660169739	0.5935957993117462	0.9994628079712078	FALSE
ZNF333	42.26190306924557	4.7408657981404335e-7	0.001442694795404686	0.02870717551595365	0.9994628079712078	FALSE
TNC	0.21911972343012065	4.665422523023837e-7	0.0014426949079809944	0.6704053394352305	0.9994628079712078	FALSE
COLEC12	0.15619332933688318	4.481227217836871e-7	0.0014426949188755351	0.7241564198328001	0.9994628079712078	FALSE
DUX4	0.3370871210447139	4.3072356200779793e-7	0.0014426947442321173	0.9414210689636541	0.9994628079712078	FALSE
SFI1	0.6768740910566642	4.294426218829821e-7	0.001442694995859291	0.46831217454750323	0.9994628079712078	FALSE
OR2M3	0.5819809685229628	4.266372695342564e-7	0.0014426949502326903	0.6215256811642234	0.9994628079712078	FALSE
MRPL22	1.6022909009960113	4.258334037030414e-7	0.0014426949960382781	0.45023318355728487	0.9994628079712078	FALSE
NABP1	0.28842563805015575	4.1011933769629465e-7	0.001442694743948941	0.6418712450614101	0.9994628079712078	FALSE
ARID3A	0.24048338646533493	4.054388995242132e-7	0.0014426949015887837	0.616775499976454	0.9994628079712078	FALSE
MYCBP2	8.802142355966529	3.9754031780511433e-7	0.001442694900375694	0.3615173535649421	0.9994628079712078	FALSE
ZNF37A	0.07717150924628075	3.9736440287070057e-7	0.0014426950297126604	0.8486736523705121	0.9994628079712078	FALSE
ROCK1	0.3834915663417929	3.965042189865648e-7	0.0014426947802650557	0.6709823586342816	0.9994628079712078	FALSE
ALYREF	0.36633875313883935	3.66831119941798e-7	0.0014426950027003514	0.6213713917106695	0.9994628079712078	FALSE
TRBV12-5	16.548509667244442	3.664273551822055e-7	0.0014426849512927337	0.880771929264236	0.9994628079712078	FALSE
DDX5	6.032336436150673	3.6534555298160333e-7	0.0014426947564155617	0.32318277234863074	0.9994628079712078	FALSE
RNASET2	1.782922634554359	3.6467724584595104e-7	0.0014426938471356371	0.7105753312146962	0.9994628079712078	FALSE
PIGN	0	3.6459957997254346e-7	0.001442695029805403	1	NA	NA
FBXL18	0.2834504995454349	3.585191510399762e-7	0.001442694997182108	0.6977283816485759	0.9994628079712078	FALSE
EMP2	0.18741983482355415	3.5140013793873147e-7	0.0014426948468770412	0.7087266403787176	0.9994628079712078	FALSE
RASA3	0.3611008887792662	3.462406381652693e-7	0.001442694973171726	0.8334051343695094	0.9994628079712078	FALSE
CLN5	1.4615396935378806	3.4516302150648637e-7	0.0014426947140819628	0.6481843578109423	0.9994628079712078	FALSE
NEUROD2	0.26835644406865117	3.3943186180636424e-7	0.001442694935834597	0.7188046127616583	0.9994628079712078	FALSE
NANS	0.07596104888241931	3.357002456314899e-7	0.0014426950427329996	0.9621479588375453	0.9994628079712078	FALSE
TPD52	0.6454003782622533	3.304056751689317e-7	0.0014426950361264778	0.9248893393116254	0.9994628079712078	FALSE
SPOCK2	0.4465672530018128	3.2745927309971706e-7	0.0014426950321680756	0.7059490940449353	0.9994628079712078	FALSE
ASAP1	1.4932997573482123	3.246637386912862e-7	0.0014426944262066962	0.7804721832954636	0.9994628079712078	FALSE
HSPA1B	0.20503565642112925	3.1943566183864196e-7	0.0014426949908127188	0.7165303597041628	0.9994628079712078	FALSE
